t_start,t_end,R1,R2,R3,pool,rejection_pred,idle_mean,intensity,phase
0.0,20.0,6,1,3,11,0.000000,0.400000,17.0,1.0
20.0,40.0,6,1,3,11,0.000000,0.400000,17.0,1.0
40.0,60.0,6,1,3,11,0.000000,0.400000,17.0,1.0
60.0,80.0,4,1,5,12,0.000000,0.800000,21.0,2.0
80.0,100.0,4,1,5,12,0.000000,0.800000,21.0,3.0
100.0,120.0,2,1,7,12,0.000000,0.200000,25.0,2.0
120.0,140.0,1,1,8,12,0.008264,0.000000,27.0,2.0
140.0,160.0,1,1,8,12,0.008264,0.000000,27.0,3.0
160.0,180.0,1,1,8,12,0.008264,0.000000,27.0,3.0
180.0,200.0,2,1,7,12,0.000000,0.200000,25.0,2.0
200.0,220.0,4,1,5,12,0.000000,0.800000,21.0,2.0
220.0,240.0,4,1,5,12,0.000000,0.800000,21.0,3.0
240.0,260.0,4,1,5,12,0.000000,0.800000,21.0,3.0
260.0,280.0,5,1,4,11,0.000000,0.100000,19.0,2.0
280.0,300.0,5,1,4,11,0.000000,0.100000,19.0,3.0
